央视频道2025/04/17 10:01点更新,#genre#
广东新闻,http://14.212.185.146:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东民生,http://14.212.185.146:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广西频道,#genre#
吉林频道,#genre#
内蒙古频道,#genre#
内蒙古,http://116.117.105.113:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁频道,#genre#
黑龙江频道,#genre#
江苏频道,#genre#
湖北频道,#genre#
浙江频道,#genre#
港澳台,#genre#
TVB星河,http://14.212.185.146:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
重庆频道,#genre#
其他频道,#genre#
